Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1930,-12.9,-16.1,-5.1,2.3,10.7,14.5,16.7,16.7,8.2,2.1,-4.6,-15.5,1.4
1931,-14.2,-16,-6.3,3.1,11.4,18.5,20.9,15.4,10.2,3.5,-7,-13.5,2.2
1932,-10.6,-15.8,-7.6,5,9.8,16.2,17.2,17.5,9.8,4.5,-6.6,-12.8,2.2
1933,-18.6,-18.1,-9.3,3.3,8.7,14.7,20,14.1,8.9,2.6,-7.6,-18.2,0
1934,-11.1,-9.4,-9.1,0.8,12.5,13.5,16.7,17.6,6.7,4.1,-3.4,-13.2,2.1
1935,-13.7,-7.7,-5.9,5.2,10,16.5,16.2,16.4,9.8,2.9,-8.7,-13,2.3
1936,-13.5,-11.2,-8.1,2.1,7.9,17.7,19.1,16.6,9.9,3,-3.4,-7.6,2.7
1937,-13.8,-11.2,-8.6,2.5,7.6,16.4,18,14.9,10.5,3.7,-6,-17.4,1.4
1938,-17.7,-12.2,-7.5,5.3,12.2,15,16.7,17,11.4,1.7,-4.3,-18.8,1.6
1939,-15,-10.6,-5.4,3.4,9.4,18.1,19.1,13,6.5,0.2,-4.6,-9.6,2
1940,-22.5,-14.5,-6.8,4.7,5.6,15.7,19.1,17.7,12.2,-2.2,-4.1,-14.7,0.9
1941,-16.5,-15.2,-7.2,-0.9,6.8,14.2,16.2,15.2,9.1,0.1,-11.4,-16.9,-0.5
1942,-20,-11.1,-11.4,1.4,10,16.7,18.2,15,7.8,1.6,-5.6,-11.3,0.9
1943,-19.9,-11,-6.7,6,14.9,14,18.4,15.9,8.3,1.1,-7,-9.3,2.1
1944,-9.6,-11.8,-2.2,3.8,11.4,16.6,15.8,14.5,11.3,2.9,-10.2,-12.9,2.5
1945,-17,-15,-8.5,1.7,6.6,15.6,15.5,17.3,9.6,1,-8.5,-19.9,-0.1
1946,-12.4,-9.3,-7.4,1.9,10.2,14.9,17.3,15.5,8.6,-1.4,-6,-14.1,1.5
1947,-17.5,-14,-5.5,5.4,7.5,13.4,15.5,15.1,10.1,3.8,-2.2,-14.2,1.5
1948,-10.9,-12.4,-8.8,1.7,14.8,19.1,15.7,14.9,9.6,3.6,-4.3,-15.1,2.3
1949,-7.7,-13.2,-8.6,1.7,11.6,17.9,16.7,17.2,6.6,1.7,-6.7,-15.1,1.8
1950,-22.4,-11.8,-5.1,6.5,9.9,14.3,16.2,14,10.3,2.9,-10,-8.3,1.4
1951,-14.4,-18.6,-3.3,9.6,9.4,16.4,19.8,17.6,10.7,0.6,-8.1,-6.9,2.7
1952,-11.7,-12.4,-8.8,-0.7,12.3,17.2,20.9,15.8,12.7,-0.2,-11,-11.9,1.9
1953,-13.7,-17.4,-6.3,6.6,10.8,15.5,19.6,19.4,9.4,0.1,-13.9,-10.3,1.7
1954,-18.4,-20,-7,3.4,10.2,16.6,20.3,14.6,11.7,4.5,-5.6,-12.7,1.5
1955,-9.4,-14,-8.7,3.2,12.8,18,16.3,14,8.7,5.2,-6.6,-22.1,1.5
1956,-17,-20.1,-7.4,2.6,11.4,16.6,15.6,15,5.2,2.6,-8.9,-9.6,0.5
1957,-14.7,-9.8,-11.7,1.5,15.4,18.2,17.7,16.2,15.3,1.4,-8.2,-7.4,2.8
1958,-11.6,-10.2,-9.7,2.8,9.1,18.2,18,18.7,4.7,2.4,-5.4,-14,1.9
1959,-10.2,-13.5,-5,1.8,12.6,15.2,18.2,13.9,8.1,-1,-7.3,-13.6,1.6
1960,-15.2,-12.1,-11.4,4.7,6.8,17.3,16.4,13.9,9.3,-1,-9,-10.1,0.8
1961,-11.7,-9,-2.1,2.3,11.2,15.4,18.3,14.9,8.4,1.3,-7.2,-9,2.7
1962,-9,-7.9,-4.4,5.2,14.6,13.5,20.4,13.2,9.5,1,-4.1,-11.4,3.4
1963,-15.8,-8.8,-11.7,3.6,10.9,16.3,19.2,14.2,9.7,3.1,-4,-11.8,2.1
1964,-14.9,-16.4,-8.8,1,11.4,14.6,18.6,14.6,10,0.8,-5.8,-7.8,1.4
1965,-13.8,-13.4,-3.2,1.9,11.7,16.8,18.8,13.3,10.6,0.5,-10.1,-8.4,2.1
1966,-15.4,-17.9,-5,5.5,10.8,14.3,19.7,15.9,10.7,-0.3,-4.4,-21.8,1
1967,-15.6,-14.3,-3.4,8.6,11.9,14.1,18.4,16.9,7.7,5.5,-1.3,-8.8,3.3
1968,-15.9,-10.5,-3.5,1.8,11.9,13.9,15.7,15.3,7.2,0.3,-8.8,-19.7,0.6
1969,-24.5,-17,-9.3,3.4,4.9,12.3,17.3,13.9,10.1,-1.8,-3,-15.8,-0.8
1970,-15.4,-9.3,-2.5,4.2,10.3,14.3,18.2,14.1,12,2.3,-8,-13.8,2.2
1971,-9.7,-17,-7.7,2.2,9.1,14.5,19.3,13.5,12.5,0.6,-0.6,-10.3,2.2
1972,-24.2,-12.8,-8.1,4.8,10.1,13.9,17.2,17,6.4,2.2,-5.3,-8.8,1
1973,-19.9,-11.5,-4,6.4,12.8,17.2,14.2,15,5.2,0.6,-4,-6.9,2.1
1974,-19.3,-13.4,-2.7,5.1,11.7,15.2,21.1,14.6,12.8,6.1,-7.3,-9.5,2.9
1975,-10.1,-12.4,-1.5,8.5,11.6,17.2,19,14.8,12.7,-0.4,-6.4,-10.2,3.6
1976,-12.2,-16.4,-7.2,5.8,11.5,18.2,15.8,16.8,9.2,-5.1,-7.9,-12.3,1.4
1977,-17.3,-15.1,-3,7.1,13.8,18.2,19.2,15,9.9,-1.5,-3,-13.3,2.5
1978,-8.9,-10.3,-0.7,2.2,9.3,15.2,16.3,13.2,9.4,1.4,-4.7,-17.4,2.1
1979,-16.3,-11.6,-2.9,-1.1,13.2,11.6,19,15.4,10.3,0.5,-4.9,-8.2,2.1
1980,-16.4,-13.6,-7.4,3.1,12.9,15.4,16.6,12.1,9.6,2.5,-6,-7.2,1.8
1981,-9.6,-8,-6,1.7,8.7,18.4,20.6,20.3,9.6,6,-3.3,-7.6,4.2
1982,-15.1,-13.5,-8.5,6.6,11.2,15.6,18.9,15.7,11.3,0.5,-3.1,-7.3,2.7
1983,-8.7,-8.5,-4.9,7.5,8.4,16.5,20.2,15.3,8.1,4.2,-4.7,-6.8,3.9
1984,-9.9,-11.3,-2,1.2,11.6,16.7,19.3,14.8,8,1,-12.6,-17.5,1.6
1985,-12,-17.1,-4.1,2.8,8.6,15.5,16.3,17,11.4,0.6,-7,-10.5,1.8
1986,-12.1,-14.9,-3.1,8,7.3,15.5,15.4,13.3,7.9,2,-5.1,-17.1,1.4
1987,-18.6,-8.6,-5.5,0.8,14.8,19.9,19.3,16,8.5,1.9,-11.3,-11.7,2.1
1988,-12.9,-9.8,-2.6,4.6,10.3,19.4,22.5,18.1,9.6,3.7,-7,-9.9,3.8
1989,-15,-9.8,-0.7,1.3,11.8,21.3,22.6,14,10,2.6,-4.2,-10.2,3.6
1990,-14.8,-7.1,-1.3,5.2,9.2,17.4,18.8,16.2,8.3,1,-5.1,-8.5,3.3
1991,-12.7,-11.3,-7.2,9.1,15.6,20.8,17.6,13.5,10.5,7,-3.1,-13.6,3.9
1992,-12,-9.2,-4,1.7,9.9,13.9,16.1,13.6,10.8,2,-5.4,-8.3,2.4
1993,-9,-12.1,-5.9,3.1,10.6,17.7,18.4,16.2,5.7,2.1,-13.3,-10,2
1994,-10.2,-17.7,﻿Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1831,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-5.8,-12.2,999.9
1832,-17.8,-11.8,-6.3,-0.6,9.9,13.3,21,13.5,9.5,1.9,-10.8,-16.8,0.4
1833,-17,-12.1,-8.5,2,5.4,16.4,18.8,15.1,7.6,1.2,-0.5,-14.9,1.1
1834,-22.8,-16.9,-4.9,-0.2,7.7,14.3,16.2,14.8,8.9,4,-2.7,-9.8,0.7
1835,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1836,-13.2,-14.7,-2.4,2.8,7.3,13.4,15.2,14,8.8,1.8,-6.6,-13.9,1
1837,-16.7,-14,-6.6,-1.4,9,15.8,15.6,14.7,7.3,-0.2,-5.1,-18.6,0
1838,-18.2,-14.5,-10.2,3.5,8.6,13.8,15.4,15.2,6.5,2,-4.9,-14.6,0.2
